where,word,mean,pinYin,Pronunciation
南汇·周浦,阿(阿),[空],ʔɑʔ⁵⁵,暂无
南汇·周浦,阿(阿),[空],ʔu⁵²,暂无
南汇·周浦,哀(哀),[空],ʔe⁵²,暂无
南汇·周浦,挨(挨),[空],ʔɑ⁵²,暂无
南汇·周浦,挨(挨),[空],ʔɛ⁵²,暂无
南汇·周浦,挨(捱),[空],ŋɑ¹¹³,暂无
南汇·周浦,矮(矮),[空],ʔɑ⁴⁴,暂无
南汇·周浦,爱(愛),[空],ʔe³³⁵,暂无
南汇·周浦,碍(礙),[空],ɦe¹¹³,暂无
南汇·周浦,碍(礙),[空],ŋe¹¹³,暂无
南汇·周浦,安(安),[空],ʔø⁵²,暂无
南汇·周浦,庵(庵),[空],ʔø⁵²,暂无
南汇·周浦,岸(岸),[空],ɦø¹¹³,暂无
南汇·周浦,按(按),[空],ʔø³³⁵,暂无
南汇·周浦,案(案),[空],ʔø³³⁵,暂无
南汇·周浦,暗(暗),[空],ʔe³³⁵,暂无
南汇·周浦,暗(暗),[空],ʔø³³⁵,暂无
南汇·周浦,肮(肮),[空],ʔɒ̃⁵²,暂无
南汇·周浦,肮(骯),[空],ʔɒ̃⁵²,暂无
南汇·周浦,昂(昂),[空],ɦɒ̃¹¹³,暂无
南汇·周浦,昂(昂),[空],ŋɒ̃¹¹³,暂无
南汇·周浦,熬(熬),[空],ŋɔ¹¹³,暂无
南汇·周浦,袄(襖),[空],ʔɔ⁴⁴,暂无
南汇·周浦,傲(傲),[空],ŋɔ¹¹³,暂无
南汇·周浦,奥(奧),[空],ʔɔ³³⁵,暂无
南汇·周浦,懊(懊),[空],ʔɔ³³⁵,暂无
南汇·周浦,懊(懊),[空],ʔɔ⁴⁴,暂无
南汇·周浦,八(八),[空],ʔbɑʔ⁵⁵,暂无
南汇·周浦,巴(巴),[空],ʔbɑ⁵²,暂无
南汇·周浦,巴(巴),[空],ʔbo⁵²,暂无
南汇·周浦,叭(叭),[空],ʔbɑ⁵²,暂无
南汇·周浦,芭(芭),[空],ʔbɑ⁵²,暂无
南汇·周浦,芭(芭),[空],ʔbo⁵²,暂无
南汇·周浦,拔(拔),[空],bɑʔ²³,暂无
南汇·周浦,把(把),[空],ʔbɑ⁴⁴,暂无
南汇·周浦,把(把),[空],ʔbo⁴⁴,暂无
南汇·周浦,罢(罷),[空],bo¹¹³,暂无
南汇·周浦,霸(霸),[空],ʔbo³³⁵,暂无
南汇·周浦,坝(壩),[空],ʔbɑ³³⁵,暂无
南汇·周浦,坝(壩),[空],ʔbo³³⁵,暂无
南汇·周浦,欛(欛),[空],ʔbo³³⁵,暂无
南汇·周浦,白(白),[空],bɑʔ²³,暂无
南汇·周浦,百(百),[空],ʔbɑʔ⁵⁵,暂无
南汇·周浦,柏(柏),[空],ʔbɑʔ⁵⁵,暂无
南汇·周浦,摆(擺),[空],ʔbɑ⁴⁴,暂无
南汇·周浦,拜(拜),[空],ʔbɑ³³⁵,暂无
南汇·周浦,败(敗),[空],bɑ¹¹³,暂无
南汇·周浦,稗(稗),[空],bɑ¹¹³,暂无
南汇·周浦,扳(扳),[空],ʔbɛ⁵²,暂无
南汇·周浦,班(班),[空],ʔbɛ⁵²,暂无
南汇·周浦,般(般),[空],ʔbɛ⁵²,暂无
南汇·周浦,斑(斑),[空],ʔbɛ⁵²,暂无
南汇·周浦,搬(搬),[空],ʔbe⁵²,暂无
南汇·周浦,板(板),[空],ʔbɛ⁴⁴,暂无
南汇·周浦,版(版),[空],ʔbɛ⁴⁴,暂无
南汇·周浦,半(半),[空],ʔbẽ³³⁵,暂无
南汇·周浦,伴(伴),[空],be¹¹³,暂无
南汇·周浦,拌(拌),[空],be¹¹³,暂无
南汇·周浦,办(辦),[空],bɛ¹¹³,暂无
南汇·周浦,瓣(瓣),[空],bɛ¹¹³,暂无
南汇·周浦,扮(扮),[空],ʔbɛ³³⁵,暂无
南汇·周浦,邦(邦),[空],bɒ̃⁵²,暂无
南汇·周浦,浜(浜),[空],ʔbᴀ̃⁵²,暂无
南汇·周浦,帮(幫),[空],ʔbɒ̃⁵²,暂无
南汇·周浦,绑(綁),[空],ʔbɒ̃⁴⁴,暂无
南汇·周浦,榜(榜),[空],ʔbɒ̃⁴⁴,暂无
南汇·周浦,蚌(蚌),[空],bᴀ̃¹¹³,暂无
南汇·周浦,棒(棒),[空],bɒ̃¹¹³,暂无
南汇·周浦,傍(傍),[空],bɒ̃¹¹³,暂无
南汇·周浦,磅(磅),[空],ʔbɒ̃³³⁵,暂无
南汇·周浦,谤(謗),[空],ʔbɒ̃³³⁵,暂无
南汇·周浦,包(包),[空],ʔbɔ⁵²,暂无
南汇·周浦,胞(胞),[空],ʔbɔ⁵²,暂无
南汇·周浦,褒(褒),[空],ʔbɔ⁵²,暂无
南汇·周浦,雹(雹),[空],bɔ¹¹³,暂无
南汇·周浦,薄(薄),[空],boʔ²³,暂无
南汇·周浦,薄(薄),[空],boʔ²³,暂无
南汇·周浦,保(保),[空],ʔbɔ⁴⁴,暂无
南汇·周浦,堡(堡),[空],ʔbɔ⁴⁴,暂无
南汇·周浦,饱(飽),[空],ʔbɔ⁴⁴,暂无
南汇·周浦,宝(寶),[空],ʔbɔ⁴⁴,暂无
南汇·周浦,抱(抱),[空],bɔ¹¹³,暂无
南汇·周浦,豹(豹),[空],ʔbɔ³³⁵,暂无
南汇·周浦,报(報),[空],ʔbɔ³³⁵,暂无
南汇·周浦,暴(暴),[空],bɔ¹¹³,暂无
南汇·周浦,鲍(鮑),[空],bɔ¹¹³,暂无
南汇·周浦,杯(杯),[空],ʔbe⁵²,暂无
