where,word,mean,pinYin,pinYinSearch,Pronunciation
青浦,多(多),[空],tu1(tu⁵³),tu1,暂无
青浦,拖(拖),[空],thu1(tʰu⁵³),thu1,暂无
青浦,他(他),[空],tha1(tʰɑ⁵³),tha1,暂无
青浦,舵(舵),[空],du6(du¹³),du6,暂无
青浦,大(大),白,du6(du¹³),du6,暂无
青浦,罗(羅),[空],lu2(lu³¹),lu2,暂无
青浦,锣(鑼),[空],lu2(lu³¹),lu2,暂无
青浦,箩(籮),[空],lu2(lu³¹),lu2,暂无
青浦,左(左),[空],tsu3(tsu⁴⁴),tsu3,暂无
青浦,搓(搓),[空],tshu1(tsʰu⁵³),tshu1,暂无
青浦,歌(歌),[空],ku1(ku⁵³),ku1,暂无
青浦,哥(哥),[空],ku1(ku⁵³),ku1,暂无
青浦,个(個),[空],ku5(ku³⁵),ku5,暂无
青浦,可(可),[空],khau3(kʰɔ⁴⁴),khau3,暂无
青浦,鹅(鵝),[空],ngu2(ŋu³¹),ngu2,暂无
青浦,蛾(蛾),[空],ngu2(ŋu³¹),ngu2,暂无
青浦,俄(俄),[空],ngu2(ŋu³¹),ngu2,暂无
青浦,我(我),[空],ngu3(ŋu⁴⁴),ngu3,暂无
青浦,饿(餓),[空],ngu6(ŋu¹³),ngu6,暂无
青浦,何(何),[空],vu2(vu³¹),vu2,暂无
青浦,河(河),[空],vu2(vu³¹),vu2,暂无
青浦,荷(荷),[空],vu2(vu³¹),vu2,暂无
青浦,贺(賀),[空],vu2(vu³¹),vu2,暂无
青浦,阿(阿),[空],u1(∅u⁵³),u1,暂无
青浦,茄(茄),[空],ga2(gɑ³¹),ga2,暂无
青浦,波(波),[空],pu1(pu⁵³),pu1,暂无
青浦,菠(菠),[空],pu1(pu⁵³),pu1,暂无
青浦,颇(頗),[空],phu1(pʰu⁵³),phu1,暂无
青浦,破(破),[空],phu5(pʰu³⁵),phu5,暂无
青浦,婆(婆),[空],bu2(bu³¹),bu2,暂无
青浦,爸(爸),[空],pa1(pɑ⁵³),pa1,暂无
青浦,摩(摩),[空],mu2(mu³¹),mu2,暂无
青浦,磨(磨),[空],mu2(mu³¹),mu2,暂无
青浦,魔(魔),[空],mu2(mu³¹),mu2,暂无
青浦,朵(朵),[空],to3(to⁴⁴),to3,暂无
青浦,妥(妥),[空],thu3(tʰu⁴⁴),thu3,暂无
青浦,惰(惰),[空],du6(du¹³),du6,暂无
青浦,糯(糯),[空],nu6(nu¹³),nu6,暂无
青浦,螺(螺),[空],lu2(lu³¹),lu2,暂无
青浦,坐(坐),[空],zu6(zu¹³),zu6,暂无
青浦,座(座),[空],zu6(zu¹³),zu6,暂无
青浦,蓑(蓑),[空],su1(su⁵³),su1,暂无
青浦,梭(梭),[空],su1(su⁵³),su1,暂无
青浦,锁(鎖),[空],su3(su⁴⁴),su3,暂无
青浦,琐(瑣),[空],su3(su⁴⁴),su3,暂无
青浦,过(過),[空],ku1(ku⁵³),ku1,暂无
青浦,锅(鍋),[空],ku1(ku⁵³),ku1,暂无
青浦,戈(戈),[空],ku1(ku⁵³),ku1,暂无
青浦,果(果),[空],ku3(ku⁴⁴),ku3,暂无
青浦,裹(裹),[空],ku1(ku⁵³),ku1,暂无
青浦,科(科),[空],khu(kʰu⁵³),khu,暂无
青浦,裸(裸),[空],lu6(lu¹³),lu6,暂无
青浦,颗(顆),[空],khu1(kʰu⁵³),khu1,暂无
青浦,课(課),[空],khu5(kʰu³⁵),khu5,暂无
青浦,卧(臥),[空],ngu(ŋu¹³),ngu,暂无
青浦,火(火),[空],fu3(fu⁴⁴),fu3,暂无
青浦,货(貨),[空],hu5(hu³⁵),hu5,暂无
青浦,和(和),[空],vu2(vu³¹),vu2,暂无
青浦,祸(禍),[空],vu6(vu¹³),vu6,暂无
青浦,窝(窩),[空],khu1(kʰu⁵³),khu1,暂无
青浦,靴(靴),[空],shio1(ɕiu⁵³),shio1,暂无
青浦,巴(巴),[空],po1(po⁵³),po1,暂无
青浦,疤(疤),[空],po1(po⁵³),po1,暂无
青浦,芭(芭),[空],po1(po⁵³),po1,暂无
青浦,把(把),[空],po3(po⁴⁴),po3,暂无
青浦,霸(霸),[空],po5(po³⁵),po5,暂无
青浦,怕(怕),[空],pho5(pʰo³⁵),pho5,暂无
青浦,爬(爬),[空],bo2(bo³¹),bo2,暂无
青浦,杷(杷),[空],bo2(bo³¹),bo2,暂无
青浦,妈(媽),[空],ma1(mɑ⁵³),ma1,暂无
青浦,麻(麻),[空],mo2(mo³¹),mo2,暂无
青浦,马(馬),[空],mo6(mo¹³),mo6,暂无
青浦,码(碼),[空],mo6(mo¹³),mo6,暂无
青浦,骂(罵),[空],mo6(mo¹³),mo6,暂无
青浦,拿(拿),白,na1(nɑ⁵³),na1,暂无
青浦,茶(茶),[空],zo2(zo³¹),zo2,暂无
青浦,渣(渣),[空],tso1(tso⁵³),tso1,暂无
青浦,诈(詐),[空],tso5(tso³⁵),tso5,暂无
青浦,炸(炸),[空],tso5(tso³⁵),tso5,暂无
青浦,叉(叉),[空],tsho1(tsʰo⁵³),tsho1,暂无
青浦,差(差),[空],tsho1(tsʰo⁵³),tsho1,暂无
青浦,岔(岔),[空],tsho5(tsʰo³⁵),tsho5,暂无
青浦,查(查),[空],zo2(zo³¹),zo2,暂无
青浦,沙(沙),[空],so1(so⁵³),so1,暂无
青浦,纱(紗),[空],so1(so⁵³),so1,暂无
青浦,洒(灑),[空],sa3(sɑ⁴⁴),sa3,暂无
青浦,加(加),白,ka1(kɑ⁵³),ka1,暂无
青浦,嘉(嘉),白,ka1(kɑ⁵³),ka1,暂无
青浦,家(家),白,ka1(kɑ⁵³),ka1,暂无
青浦,傢(傢),白,ka1(kɑ⁵³),ka1,暂无
青浦,假(假),真假,ka3(kɑ⁴⁴),ka3,暂无
青浦,假(假),白。放假,ka5(kɑ³⁵),ka5,暂无
青浦,贾(賈),[空],cia3(tɕiɑ⁴⁴),cia3,暂无
青浦,稼(稼),[空],cia5(tɕiɑ³⁵),cia5,暂无
青浦,嫁(嫁),白,ka5(kɑ³⁵),ka5,暂无
青浦,架(架),白,ka5(kɑ³⁵),ka5,暂无
青浦,驾(駕),[空],cia5(tɕiɑ³⁵),cia5,暂无
青浦,价(價),白,ka5(kɑ³⁵),ka5,暂无
青浦,牙(牙),[空],nga2(ŋɑ³¹),nga2,暂无
青浦,芽(芽),[空],nga2(ŋɑ³¹),nga2,暂无
青浦,衙(衙),[空],nga2(ŋɑ³¹),nga2,暂无
青浦,雅(雅),[空],ia3(∅iɑ⁴⁴),ia3,暂无
青浦,霞(霞),[空],ya2(ɦiɑ³¹),ya2,暂无
青浦,下(下),白。山下,gho6(ɦo¹³),gho6,暂无
青浦,下(下),下山,gho6(ɦo¹³),gho6,暂无
青浦,夏(夏),[空],gho6(ɦo¹³),gho6,暂无
青浦,鸦(鴉),[空],ia1(∅iɑ⁵³),ia1,暂无
青浦,丫(丫),[空],o1(∅o⁵³),o1,暂无
青浦,哑(啞),[空],o3(∅o⁴⁴),o3,暂无
青浦,亚(亞),[空],ia3(∅iɑ⁴⁴),ia3,暂无
青浦,姐(姐),[空],tsia3(tsiɑ⁴⁴),tsia3,暂无
青浦,借(借),[空],tsia5(tsiɑ³⁵),tsia5,暂无
青浦,且(且),[空],tshi1(tsʰi⁵³),tshi1,暂无
青浦,写(寫),[空],sia3(siɑ⁴⁴),sia3,暂无
青浦,泻(瀉),[空],sia5(siɑ³⁵),sia5,暂无
青浦,卸(卸),[空],sia5(siɑ³⁵),sia5,暂无
青浦,邪(邪),[空],zia2(ziɑ³¹),zia2,暂无
青浦,斜(斜),[空],zia2(ziɑ³¹),zia2,暂无
青浦,谢(謝),[空],zia6(ziɑ¹³),zia6,暂无
青浦,爹(爹),[空],tia1(tiɑ⁵³),tia1,暂无
青浦,遮(遮),[空],tso1(tso⁵³),tso1,暂无
青浦,者(者),[空],tsae1(tsᴇ⁵³),tsae1,暂无
青浦,蔗(蔗),[空],tso1(tso⁵³),tso1,暂无
青浦,车(車),[空],tsho1(tsʰo⁵³),tsho1,暂无
青浦,扯(扯),[空],tsha1(tsʰɑ⁵³),tsha1,暂无
青浦,蛇(蛇),[空],zo2(zo³¹),zo2,暂无
青浦,射(射),[空],zaoq8(zɔʔ²),zaoq8,暂无
青浦,舍(舍),白,sae5(sᴇ³⁵),sae5,暂无
青浦,赦(赦),[空],so5(so³⁵),so5,暂无
青浦,社(社),[空],zo6(zo¹³),zo6,暂无
青浦,惹(惹),[空],za6(zɑ¹³),za6,暂无
青浦,爷(爺),[空],ya2(ɦiɑ³¹),ya2,暂无
青浦,野(野),[空],ya6(ɦiɑ¹³),ya6,暂无
青浦,夜(夜),[空],ya6(ɦiɑ¹³),ya6,暂无
青浦,瓜(瓜),[空],ko1(ko⁵³),ko1,暂无
青浦,寡(寡),[空],ko5(ko³⁵),ko5,暂无
青浦,夸(誇),[空],kho1(kʰo⁵³),kho1,暂无
青浦,垮(垮),[空],kho3(kʰo⁴⁴),kho3,暂无
青浦,跨(跨),[空],khau5(kʰɔ³⁵),khau5,暂无
青浦,瓦(瓦),[空],ngau6(ŋɔ¹³),ngau6,暂无
青浦,花(花),[空],ho1(ho⁵³),ho1,暂无
青浦,化(化),[空],ho5(ho³⁵),ho5,暂无
青浦,华(華),[空],gho2(ɦo³¹),gho2,暂无
青浦,划(劃),[空],o1(∅o⁵³),o1,暂无
青浦,补(補),[空],pu3(pu⁴⁴),pu3,暂无
青浦,谱(譜),[空],phu3(pʰu⁴⁴),phu3,暂无
青浦,布(布),[空],pu5(pu³⁵),pu5,暂无
青浦,铺(鋪),铺设,phu1(pʰu⁵³),phu1,暂无
青浦,普(普),[空],phu3(pʰu⁴⁴),phu3,暂无
青浦,浦(浦),[空],phu3(pʰu⁴⁴),phu3,暂无
青浦,蒲(蒲),[空],bu2(bu³¹),bu2,暂无
青浦,菩(菩),[空],bu2(bu³¹),bu2,暂无
青浦,部(部),[空],bu6(bu¹³),bu6,暂无
青浦,簿(簿),[空],bu6(bu¹³),bu6,暂无
青浦,捕(捕),[空],bu6(bu¹³),bu6,暂无
青浦,步(步),[空],bu6(bu¹³),bu6,暂无
青浦,模(模),[空],mu2(mu³¹),mu2,暂无
青浦,暮(暮),[空],mu6(mu¹³),mu6,暂无
青浦,慕(慕),[空],mu6(mu¹³),mu6,暂无
青浦,墓(墓),[空],mu6(mu¹³),mu6,暂无
青浦,募(募),[空],mu6(mu¹³),mu6,暂无
青浦,都(都),[空],tu1(tu⁵³),tu1,暂无
青浦,赌(賭),[空],tu3(tu⁴⁴),tu3,暂无
青浦,堵(堵),[空],tu3(tu⁴⁴),tu3,暂无
青浦,肚(肚),[空],tu3(tu⁴⁴),tu3,暂无
青浦,妒(妒),[空],tu3(tu⁴⁴),tu3,暂无
青浦,土(土),[空],thu3(tʰu⁴⁴),thu3,暂无
青浦,吐(吐),[空],thu5(tʰu³⁵),thu5,暂无
青浦,兔(兔),[空],thu5(tʰu³⁵),thu5,暂无
青浦,徒(徒),[空],du2(du³¹),du2,暂无
青浦,途(途),[空],du6(du¹³),du6,暂无
青浦,涂(塗),[空],du2(du³¹),du2,暂无
青浦,图(圖),[空],du2(du³¹),du2,暂无
