! U+0021
" U+0022
# U+0023
$ U+0024
% U+0025
& U+0026
' U+0027
( U+0028
) U+0029
* U+002A
+ U+002B
, U+002C
- U+002D
. U+002E
/ U+002F
0 U+0030
1 U+0031
2 U+0032
3 U+0033
4 U+0034
5 U+0035
6 U+0036
7 U+0037
8 U+0038
9 U+0039
: U+003A
; U+003B
< U+003C
= U+003D
> U+003E
? U+003F
@ U+0040
A U+0041
B U+0042
C U+0043
D U+0044
E U+0045
F U+0046
G U+0047
H U+0048
I U+0049
J U+004A
K U+004B
L U+004C
M U+004D
N U+004E
O U+004F
P U+0050
Q U+0051
R U+0052
S U+0053
T U+0054
U U+0055
V U+0056
W U+0057
X U+0058
Y U+0059
Z U+005A
[ U+005B
\ U+005C
] U+005D
^ U+005E
_ U+005F
` U+0060
a U+0061
b U+0062
c U+0063
d U+0064
e U+0065
f U+0066
g U+0067
h U+0068
i U+0069
j U+006A
k U+006B
l U+006C
m U+006D
n U+006E
o U+006F
p U+0070
q U+0071
r U+0072
s U+0073
t U+0074
u U+0075
v U+0076
w U+0077
x U+0078
y U+0079
z U+007A
{ U+007B
| U+007C
} U+007D
~ U+007E
 U+0088
 U+008C
 U+008E
¢ U+00A2
£ U+00A3
« U+00AB
° U+00B0
² U+00B2
³ U+00B3
· U+00B7
¹ U+00B9
À U+00C0
Á U+00C1
Â U+00C2
Ä U+00C4
È U+00C8
É U+00C9
Ê U+00CA
Ë U+00CB
Î U+00CE
Ô U+00D4
× U+00D7
Ø U+00D8
à U+00E0
á U+00E1
â U+00E2
ã U+00E3
æ U+00E6
ç U+00E7
è U+00E8
é U+00E9
ê U+00EA
ë U+00EB
í U+00ED
î U+00EE
ï U+00EF
ð U+00F0
ó U+00F3
ô U+00F4
ø U+00F8
ù U+00F9
ú U+00FA
û U+00FB
ü U+00FC
ā U+0101
Ą U+0104
ē U+0113
Ę U+0118
ě U+011B
ī U+012B
ŋ U+014B
Œ U+0152
œ U+0153
ū U+016B
ż U+017C
Ž U+017D
ǎ U+01CE
ǔ U+01D4
ȵ U+0235
ɐ U+0250
ɑ U+0251
ɒ U+0252
ɓ U+0253
ɔ U+0254
ɕ U+0255
ɗ U+0257
ə U+0259
ɛ U+025B
ɜ U+025C
ɟ U+025F
ɡ U+0261
ɤ U+0264
ɦ U+0266
ɪ U+026A
ɯ U+026F
ɲ U+0272
ɵ U+0275
ɸ U+0278
ɿ U+027F
ʃ U+0283
ʄ U+0284
ʊ U+028A
ʋ U+028B
ʌ U+028C
ʑ U+0291
ʔ U+0294
ʣ U+02A3
ʥ U+02A5
ʦ U+02A6
ʨ U+02A8
ʮ U+02AE
ʰ U+02B0
ʳ U+02B3
ʻ U+02BB
ˆ U+02C6
ː U+02D0
ˢ U+02E2
˥ U+02E5
˦ U+02E6
̀ U+0300
́ U+0301
̂ U+0302
̃ U+0303
̇ U+0307
̈ U+0308
̍ U+030D
̩ U+0329
α U+03B1
β U+03B2
ᴀ U+1D00
ᴇ U+1D07
ᵉ U+1D49
ᵐ U+1D50
ᵗ U+1D57
ᶸ U+1DB8
‌ U+200C
– U+2013
— U+2014
― U+2015
‖ U+2016
‘ U+2018
’ U+2019
“ U+201C
” U+201D
• U+2022
… U+2026
‧ U+2027
′ U+2032
⁰ U+2070
⁴ U+2074
⁵ U+2075
⁷ U+2077
⁻ U+207B
⁼ U+207C
₁ U+2081
₂ U+2082
℃ U+2103
→ U+2192
∅ U+2205
∥ U+2225
≈ U+2248
≤ U+2264
⋯ U+22EF
① U+2460
② U+2461
③ U+2462
④ U+2463
⑤ U+2464
⑥ U+2465
⑦ U+2466
⑧ U+2467
⑨ U+2468
⑩ U+2469
⑪ U+246A
⑫ U+246B
⑬ U+246C
⑭ U+246D
⑴ U+2474
⑵ U+2475
⑶ U+2476
⓫ U+24EB
─ U+2500
□ U+25A1
△ U+25B3
◆ U+25C6
◇ U+25C7
○ U+25CB
◎ U+25CE
❶ U+2776
❷ U+2777
❸ U+2778
❹ U+2779
❺ U+277A
❻ U+277B
❼ U+277C
❽ U+277D
❾ U+277E
❿ U+277F
⺮ U+2EAE
⼞ U+2F1E
、 U+3001
。 U+3002
〈 U+3008
〉 U+3009
《 U+300A
》 U+300B
「 U+300C
」 U+300D
『 U+300E
』 U+300F
【 U+3010
】 U+3011
〔 U+3014
〕 U+3015
〖 U+3016
〗 U+3017
〜 U+301C
う U+3046
さ U+3055
し U+3057
と U+3068
の U+306E
べ U+3079
み U+307F
ん U+3093
ウ U+30A6
ス U+30B9
セ U+30BB
タ U+30BF
デ U+30C7
ハ U+30CF
フ U+30D5
ル U+30EB
ン U+30F3
・ U+30FB
ー U+30FC
㈠ U+3220
㈢ U+3222
㐌 U+340C
㐱 U+3431
㑃 U+3443
㑚 U+345A
㒅 U+3485
㒼 U+34BC
㓅 U+34C5
㓔 U+34D4
㓟 U+34DF
㓠 U+34E0
㓤 U+34E4
㓾 U+34FE
㔍 U+350D
㔐 U+3510
㔶 U+3536
㔸 U+3538
㕐 U+3550
㕑 U+3551
㕟 U+355F
㖃 U+3583
㖄 U+3584
㖒 U+3592
㖦 U+35A6
㖮 U+35AE
㖸 U+35B8
㗥 U+35E5
㗵 U+35F5
㗿 U+35FF
㘅 U+3605
㙢 U+3662
㙤 U+3664
㙱 U+3671
㙲 U+3672
㚇 U+3687
㚰 U+36B0
㜷 U+3737
㜺 U+373A
㞘 U+3798
㞞 U+379E
㟞 U+37DE
㡘 U+3858
㡭 U+386D
㤓 U+3913
㥢 U+3962
㧊 U+39CA
㧖 U+39D6
㧙 U+39D9
㧤 U+39E4
㧥 U+39E5
㧦 U+39E6
㧸 U+39F8
㧺 U+39FA
㨄 U+3A04
㨆 U+3A06
㨊 U+3A0A
㨔 U+3A14
㨖 U+3A16
㨟 U+3A1F
㨨 U+3A28
㨪 U+3A2A
㩄 U+3A44
㩑 U+3A51
㩜 U+3A5C
㩝 U+3A5D
㩟 U+3A5F
㩭 U+3A6D
㩳 U+3A73
㩻 U+3A7B
㪗 U+3A97
㪥 U+3AA5
㪪 U+3AAA
㪬 U+3AAC
㫰 U+3AF0
㬟 U+3B1F
㭾 U+3B7E
㮇 U+3B87
㯱 U+3BF1
㰯 U+3C2F
㰵 U+3C35
㱟 U+3C5F
㲀 U+3C80
㳠 U+3CE0
㴛 U+3D1B
㵧 U+3D67
㵾 U+3D7E
㶁 U+3D81
㶒 U+3D92
㶕 U+3D95
㶭 U+3DAD
㶿 U+3DBF
㷈 U+3DC8
㷟 U+3DDF
㷫 U+3DEB
㷰 U+3DF0
㸙 U+3E19
㸝 U+3E1D
㸠 U+3E20
㹂 U+3E42
㹙 U+3E59
㼑 U+3F11
㼭 U+3F2D
㼾 U+3F3E
㽂 U+3F42
㽘 U+3F58
㽱 U+3F71
㽹 U+3F79
㾈 U+3F88
㾋 U+3F8B
㾍 U+3F8D
㾔 U+3F94
㾘 U+3F98
㾦 U+3FA6
㾪 U+3FAA
㾭 U+3FAD
㾹 U+3FB9
㿀 U+3FC0
㿭 U+3FED
㿯 U+3FEF
㿱 U+3FF1
㿳 U+3FF3
㿷 U+3FF7
䀙 U+4019
䀨 U+4028
䀫 U+402B
䀰 U+4030
䀹 U+4039
䁝 U+405D
䁱 U+4071
䂐 U+4090
䂫 U+40AB
䂸 U+40B8
䂻 U+40BB
䃙 U+40D9
䃳 U+40F3
䅴 U+4174
䇫 U+41EB
䇲 U+41F2
䈆 U+4206
䈍 U+420D
䈬 U+422C
䈳 U+4233
䉕 U+4255
䉩 U+4269
䉬 U+426C
䉯 U+426F
䉱 U+4271
䊓 U+4293
䊵 U+42B5
䋎 U+42CE
䋓 U+42D3
䌟 U+431F
䏧 U+43E7
䐁 U+4401
䐥 U+4425
䐩 U+4429
䐬 U+442C
䐯 U+442F
䑙 U+4459
䓣 U+44E3
䕠 U+4560
䖆 U+4586
䗻 U+45FB
䘯 U+462F
䘵 U+4635
䙴 U+4674
䚭 U+46AD
䛀 U+46C0
䛟 U+46DF
䝻 U+477B
䝼 U+477C
䞁 U+4781
䞤 U+47A4
䞳 U+47B3
䞷 U+47B7
䟒 U+47D2
䟲 U+47F2
䟶 U+47F6
䟺 U+47FA
䟻 U+47FB
䟿 U+47FF
䠆 U+4806
䠊 U+480A
䠚 U+481A
䠡 U+4821
䠰 U+4830
䠷 U+4837
䥛 U+495B
䨹 U+4A39
䩍 U+4A4D
䪊 U+4A8A
䫌 U+4ACC
䫜 U+4ADC
䫲 U+4AF2
䬝 U+4B1D
䬵 U+4B35
䭁 U+4B41
䰉 U+4C09
䱀 U+4C40
䱗 U+4C57
䱻 U+4C7B
䲉 U+4C89
䳝 U+4CDD
䳸 U+4CF8
䵑 U+4D51
䵬 U+4D6C
䵶 U+4D76
䶎 U+4D8E
䶕 U+4D95
一 U+4E00
丁 U+4E01
七 U+4E03
万 U+4E07
丈 U+4E08
三 U+4E09
上 U+4E0A
下 U+4E0B
丌 U+4E0C
不 U+4E0D
与 U+4E0E
丐 U+4E10
丑 U+4E11
专 U+4E13
且 U+4E14
丕 U+4E15
世 U+4E16
丘 U+4E18
丙 U+4E19
业 U+4E1A
丛 U+4E1B
东 U+4E1C
丝 U+4E1D
丞 U+4E1E
丟 U+4E1F
丢 U+4E22
两 U+4E24
严 U+4E25
並 U+4E26
丧 U+4E27
丨 U+4E28
个 U+4E2A
丫 U+4E2B
丬 U+4E2C
中 U+4E2D
丰 U+4E30
丱 U+4E31
串 U+4E32
临 U+4E34
丸 U+4E38
丹 U+4E39
为 U+4E3A
主 U+4E3B
丽 U+4E3D
举 U+4E3E
乃 U+4E43
久 U+4E45
么 U+4E48
义 U+4E49
之 U+4E4B
乌 U+4E4C
乍 U+4E4D
乎 U+4E4E
乏 U+4E4F
乐 U+4E50
乒 U+4E52
乓 U+4E53
乔 U+4E54
乖 U+4E56
乘 U+4E58
乙 U+4E59
九 U+4E5D
乞 U+4E5E
也 U+4E5F
习 U+4E60
乡 U+4E61
书 U+4E66
乩 U+4E69
买 U+4E70
乱 U+4E71
乳 U+4E73
乾 U+4E7E
亂 U+4E82
了 U+4E86
予 U+4E88
争 U+4E89
事 U+4E8B
二 U+4E8C
亍 U+4E8D
于 U+4E8E
亏 U+4E8F
云 U+4E91
互 U+4E92
五 U+4E94
井 U+4E95
亘 U+4E98
亙 U+4E99
亚 U+4E9A
些 U+4E9B
亜 U+4E9C
亞 U+4E9E
亟 U+4E9F
亡 U+4EA1
亢 U+4EA2
交 U+4EA4
亥 U+4EA5
亦 U+4EA6
产 U+4EA7
亨 U+4EA8
亩 U+4EA9
享 U+4EAB
京 U+4EAC
亭 U+4EAD
亮 U+4EAE
亲 U+4EB2
亳 U+4EB3
亵 U+4EB5
亶 U+4EB6
人 U+4EBA
亻 U+4EBB
亿 U+4EBF
什 U+4EC0
仁 U+4EC1
仂 U+4EC2
仃 U+4EC3
仄 U+4EC4
