where	word	mean	pinYin	toggle	pinYinSearch	Pronunciation	note	updated_at
南汇·周浦	我(我)	[空]	wu6(ɦu¹¹³)	true	wu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	我(我)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	沃(沃)	[空]	oq7(ʔoʔ⁵⁵)	true	oq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	卧(臥)	[空]	ngu6(ŋu¹¹³)	true	ngu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	握(握)	[空]	oq7(ʔoʔ⁵⁵)	true	oq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	巫(巫)	[空]	u1(ʔu⁵²)	true	u1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	巫(巫)	[空]	vu1(ʔvv̩⁵²)	true	vu1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	屋(屋)	[空]	oq7(ʔoʔ⁵⁵)	true	oq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	乌(烏)	[空]	u1(ʔu⁵²)	true	u1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	乌(烏)	[空]	uu1(ʔʋv̩⁵²)	true	uu1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	吾(吾)	[空]	wu6(ɦu¹¹³)	true	wu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	吾(吾)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	吴(吳)	[空]	vu6(vu¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	梧(梧)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	无(無)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	蜈(蜈)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	五(五)	[空]	ng6(ɦŋ̇¹¹³)	true	ng6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	午(午)	[空]	ng6(ɦŋ̇¹¹³)	true	ng6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	午(午)	[空]	vu6(vu¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	武(武)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	舞(舞)	[空]	wu6(ɦu¹¹³)	true	wu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	舞(舞)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	勿(勿)	[空]	veq7(ʔvəʔ⁵⁵)	true	veq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	物(物)	[空]	veq8(vəʔ²³)	true	veq8	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	悟(悟)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	务(務)	[空]	wu6(ɦu¹¹³)	true	wu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	务(務)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	误(誤)	[空]	vu6(vv̩¹¹³)	true	vu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	雾(霧)	[空]	wu6(ɦu¹¹³)	true	wu6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	夕(夕)	[空]	zhiq8(ʑɪʔ²³)	true	zhiq8	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	西(西)	[空]	shi1(ɕi⁵²)	true	shi1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	吸(吸)	[空]	shiq7(ɕɪʔ⁵⁵)	true	shiq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	希(希)	[空]	shi1(ɕi⁵²)	true	shi1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	昔(昔)	[空]	shiq7(ɕɪʔ⁵⁵)	true	shiq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	析(析)	[空]	shiq7(ɕɪʔ⁵⁵)	true	shiq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	息(息)	[空]	shiq7(ɕɪʔ⁵⁵)	true	shiq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	奚(奚)	[空]	shi1(ɕi⁵²)	true	shi1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	奚(奚)	[空]	yi6(ɦi¹¹³)	true	yi6	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	惜(惜)	[空]	shiq7(ɕɪʔ⁵⁵)	true	shiq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	稀(稀)	[空]	shi1(ɕi⁵²)	true	shi1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	溪(溪)	[空]	chi1(tɕʰi⁵²)	true	chi1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	熄(熄)	[空]	shiq7(ɕɪʔ⁵⁵)	true	shiq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	锡(錫)	[空]	shiq7(ɕɪʔ⁵⁵)	true	shiq7	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	牺(犧)	[空]	shi1(ɕi⁵²)	true	shi1	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	席(席)	[空]	zhiq8(ʑɪʔ²³)	true	zhiq8	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	习(習)	[空]	zhiq8(ʑɪʔ²³)	true	zhiq8	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	袭(襲)	[空]	zhiq8(ʑɪʔ²³)	true	zhiq8	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
南汇·周浦	洗(洗)	[空]	shi3(ɕi⁴⁴)	true	shi3	暂无	自旧档汇入	2023-07-05T08:47:08+08:00
