text	verb	explanation	madarian	romen	ro_correct	hanzi	han_correct	page	description	toggle	note	updated_at
Médire	vn		毁谤，说坏话，话人是非	wo’ k‘ieû.		話恘		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Médire	vn		毁谤，说坏话，话人是非	wo’ gnen ke’ véh ’h‘ao(ze’ fi)(kou’ séh).		話人个勿好（是非）（過失）		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Médire	vn		毁谤，说坏话，话人是非	’kaong zang ’kaong ’teu.		講長講短		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méditation	sf		沉思，思考	meh ’siang.		默想		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méditation	sf	Sujet, points de - (C.).	默想题目	meh ’siang di moh.		默想題目		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méditer	va. Et vn.		思考	’siang ih ’siang.		想一想		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méditer	va. Et vn.		思考	meh ’siang.		默想		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méfait	sm		坏事，罪过	wa’ ze’.		壞事		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méfait	sm		坏事，罪过	zu’ kou’.		罪過		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méfiant	adj		多疑的	gni woh ke’.		疑惑个		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méfiant	adj		多疑的	gni sin.		疑心		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Méfier	vr	(Se) de qqn.	怀疑某人	gni woh i.		疑惑伊		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Mégarde	loc.adv	(Par).	不留心	ts‘éh yu wou sin ke’.		出于無心个		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Mégère	sf		泼妇	p‘éh wou’.		潑婦		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Mégère	sf		泼妇	tiao wou’.		刁婦		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Meilleur	adj		更好的	keng ’h‘ao.		更好		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Meilleur	adj		更好的	keng ka ’h‘ao.		更加好		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Meilleur	adj	Le -.	最好的，再好不过的	’ting ’h‘ao.		頂好		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Meilleur	adj	Le -.	最好的，再好不过的	tsu’ ’h‘ao.		最好		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Meilleur	adj	Le -.	最好的，再好不过的	tsai’ ’h‘ao m méh.		再好無末	再好嘸末	363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Mélancolie	sf		忧闷的，气闷的	yeû men’.		憂悶		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Mélancolie	sf		忧闷的，气闷的	k‘i’ men’.		氣悶		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Mélancolie	sf		忧闷的，气闷的	sin ’li men’.		心裏悶		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
Mélancolique	adj		愁闷的	zeû men’.		愁悶		363		true	自旧档汇入	2026-04-13T01:27:08+08:00
