vocabulary	originalEntry	explanation	example	pinYin	location	place	source	toggle	whichCounty	whichTown	note	updated_at
轧头师父(軋頭師父)	軋頭師父	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
轧牙齿(軋牙齒)	軋牙齒	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
轧杖(軋杖)	軋杖	轧车的上下两个滚轴，一般上边的是木头滚轴，直径大一点，用手来摇的。下边的是铁滚轴，直径小一点，用脚来踩的。(軋車的上下兩個滾軸，一般上邊的是木頭滾軸，直徑大一點，用手來搖的。下邊的是鐵滾軸，直徑小一點，用腳來踩的。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
轧账(軋賬)	軋賬	核查账目。(核查賬目。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
轧直(軋直)	軋直	实在：夷话出说话来蛮～（他说去话来蛮实在的）。(實在：夷話出說話來蠻～（他說去話來蠻實在的）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
轧猪油(軋豬油)	軋豬油	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
轧子情理朝前(軋子情理朝前)	軋子情理朝前	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
轧足(軋足)	軋足	挤满：基夜头电影院里个人是～个特（今天晚上电影院里看电影的人是挤满了）。(擠滿：基夜頭電影院裏個人是～個特（今天晚上電影院裏看電影的人是擠滿了）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
挜揽(挜攬)	挜攬	见〖掗塞〗。 ‖参(見〖掗塞〗。‖參)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
掗塞(掗塞)	掗塞	硬把东西送给对方或卖给对方：我弗要末，夷拿个两棵青菜硬～拨我（我不要，他硬是把这几棵青菜卖给我）。 ②硬把人推给对方：其娘子是你自家寻个，弗是丈人家～拨你个（这个妻子是你自己找的，不是丈人家硬是推给你的）。 ‖也说“挜揽”。(硬把東西送給對方或賣給對方：我弗要末，夷拿個兩棵青菜硬～撥我（我不要，他硬是把這幾棵青菜賣給我）。②硬把人推給對方：其娘子是你自家尋個，弗是丈人家～撥你個（這個妻子是你自己找的，不是丈人家硬是推給你的）。‖也說“挜攬”。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
齾(齾)	齾	缺，弄缺：夷个牙齿～脱一块（他的牙缺了一块）。 ｜台子角浪～特（桌子角上缺了）。 ②砍掉一点价钱：个只肉浪～脱夷三块（肉上少给三块钱）。 ‖《广韵》入声辖韵五辖切:“器缺也”(缺，弄缺：夷個牙齒～脫一塊（他的牙缺了一塊）。｜臺子角浪～特（桌子角上缺了）。②砍掉一點價錢：個隻肉浪～脫夷三塊（肉上少給三塊錢）。‖《廣韻》入聲舝韻五舝切:“器缺也”)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
齾价钿(齾價鈿)	齾價鈿	砍价：夷买货色喜欢～个（他买东西喜欢砍价的）。(砍價：夷買貨色喜歡～個（他買東西喜歡砍價的）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
齾进齾出(齾進齾出)	齾進齾出	边沿上凹进去又凸出来：其边浪拨你剪来～子弗好看个（那个边上被你剪得凹进去又凸出来的不好看）。(邊沿上凹進去又凸出來：其邊浪撥你剪來～子弗好看個（那個邊上被你剪得凹進去又凸出來的不好看）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
齾口(齾口)	齾口	缺口：碗边浪一个～（碗边上一个缺口）。(缺口：碗邊浪一個～（碗邊上一個缺口）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
齾口粪箕对恶扫帚(齾口糞箕對惡掃帚)	齾口糞箕對惡掃帚	缺口的簸箕和扫粪便的扫帚相对，比喻两者都不是好东西：夷特两家头是～（他们两个人是都不是好东西）。(缺口的簸箕和掃糞便的掃帚相對，比喻兩者都不是好東西：夷特兩家頭是～（他們兩個人是都不是好東西）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
齾哩齾痴(齾哩齾癡)	齾哩齾癡	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
胭子(胭子)	胭子	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
淹(淹)	淹	淹没：落子一场大雨，种个芦穄秧裁～勒地里（下了场大雨，种的甜秆苗都淹没在地里）。(淹沒：落子一場大雨，種個蘆穄秧裁～勒地裏（下了場大雨，種的甜稈苗都淹沒在地裏）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
淹杀(淹殺)	淹殺	淹死：～勒大河里（淹死在河里）。(淹死：～勒大河裏（淹死在河裏）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
淹杀鬼(淹殺鬼)	淹殺鬼	淹死的人。(淹死的人。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟(煙)	煙	物质燃烧时产生的混有未完全燃烧的微小颗粒的气体：烧湿柴～大。 ②烧水做饭时锅上冒出的蒸汽：镬子烧开特，冒～特（锅开了，冒气了）。烟熏人的味儿：屋里～来，快点跑出去（屋子里烟味很大，快出去）。香烟，烟草：～丝。(物質燃燒時產生的混有未完全燃燒的微小顆粒的氣體：燒濕柴～大。②燒水做飯時鍋上冒出的蒸汽：鑊子燒開特，冒～特（鍋開了，冒氣了）。煙熏人的味兒：屋裏～來，快點跑出去（屋子裏煙味很大，快出去）。香煙，煙草：～絲。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟尘抖乱(煙塵抖亂)	煙塵抖亂	形容尘土飞扬。(形容塵土飛揚。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟出(孛)柳柳(煙出(孛)柳柳)	煙出(孛)柳柳	见〖烟吹柳柳〗。(見〖煙吹柳柳〗。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟吹柳柳(煙吹柳柳)	煙吹柳柳	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟囱(煙囪)	煙囪	炉灶上排烟的管。(爐灶上排煙的管。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟囱筒(煙囪筒)	煙囪筒	烟囱。 ‖烟囱是圆筒形的，所以也说“烟囱筒”。(煙囪。‖煙囪是圓筒形的，所以也說“煙囪筒”。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟管(煙管)	煙管	一头安装烟嘴一头安装烟斗的杆儿。(一頭安裝煙嘴一頭安裝煙斗的杆兒。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟管头(煙管頭)	煙管頭	烟斗，装烟叶（丝）的金属制品。(煙斗，裝煙葉（絲）的金屬製品。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟管咬子(煙管咬子)	煙管咬子	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟盒(煙盒)	煙盒	放香烟的盒子。(放香煙的盒子。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟亨亨(煙亨亨)	煙亨亨	颜色不鲜。 ②（肉质等）看上去不新鲜。(顏色不鮮。②（肉質等）看上去不新鮮。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟灰(煙灰)	煙灰	烟吸完后剩下的灰。(煙吸完後剩下的灰。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟灰缸(煙灰缸)	煙灰缸	装烟灰的缸子。(裝煙灰的缸子。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟酒弗分家(煙酒弗分家)	煙酒弗分家	指互相请酒递烟以表友好。(指互相請酒遞煙以表友好。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟酒两头顺(煙酒兩頭順)	煙酒兩頭順	喝酒的时候抽烟，会相得益彰，更加增加吃的兴趣。(喝酒的時候抽煙，會相得益彰，更加增加吃的興趣。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟毛气(煙毛氣)	煙毛氣	烟火的气味。(煙火的氣味。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟念(煙念)	煙念	烟瘾：夷～大来（他烟瘾很大）。(煙癮：夷～大來（他煙癮很大）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟色(煙色)	煙色	抽烟留下的脸色又黄又黑的样子：看看夷是～重来交关个特（看他的脸色是又黄又黑，完全是一副抽烟的人的样子）。(抽煙留下的臉色又黃又黑的樣子：看看夷是～重來交關個特（看他的臉色是又黃又黑，完全是一副抽煙的人的樣子）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟丝(煙絲)	煙絲	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟先(煙先)	煙先	形容喜欢一点一点地获取利益而毫不爽气：夷～勿过，一条界址逐点逐点拨夷掮子过来特（他很喜欢一点一点地获取利益而毫不爽气，一条界就被他一点一点地占了）。 ‖参“烟屑密屑”，“烟先”可能是“烟屑密屑”变读。(形容喜歡一點一點地獲取利益而毫不爽氣：夷～勿過，一條界址逐點逐點撥夷掮子過來特（他很喜歡一點一點地獲取利益而毫不爽氣，一條界就被他一點一點地占了）。‖參“煙屑密屑”，“煙先”可能是“煙屑密屑”變讀。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟屑密屑(煙屑密屑)	煙屑密屑	暗中一点一点地获取别人家的利益：货色一淘拨邻(暗中一點一點地獲取別人家的利益：貨色一淘撥鄰)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟叶子(煙葉子)	煙葉子	[暂无]([暂无])	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
烟油(煙油)	煙油	烟袋、烟斗、烟嘴儿里积存的油垢。(煙袋、煙斗、煙嘴兒裏積存的油垢。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
腌笃鲜(醃篤鮮)	醃篤鮮	咸肉和鲜肉一起炖的汤。是从上海引进的菜肴名。 ‖也说“腌鲜汤”。(鹹肉和鮮肉一起燉的湯。是從上海引進的菜肴名。‖也說“醃鮮湯”。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
腌鲜汤(醃鮮湯)	醃鮮湯	见〖腌笃鲜〗。(見〖醃篤鮮〗。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
腌臜饭(醃臜飯)	醃臜飯	：吃别人家～（心里别扭、不痛快地在别人家做事）。(：吃別人家～（心裏彆扭、不痛快地在別人家做事）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
腌臜气(醃臜氣)	醃臜氣	心里别扭、不痛快：受你特个种～（被你们搞得心里别扭不痛快）。(心裏彆扭、不痛快：受你特個種～（被你們搞得心裏彆扭不痛快）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
延(延)	延	液体顺着依托的物体渗透、流淌：馋唾～到嘴革头特（唾液流到嘴角了）。 ︱灯盏里个火油顺子灯芯望上～（油灯的火油顺着灯芯往上渗透）有些鱼类身体表面的粘液：鱼～。 ‖晓东作“涎”，涎，《广韵》平声仙韵夕连切“口液也”。和崇明话声母不合。(液體順著依託的物體滲透、流淌：饞唾～到嘴革頭特（唾液流到嘴角了）。︱燈盞裏個火油順子燈芯望上～（油燈的火油順著燈芯往上滲透）有些魚類身體表面的粘液：魚～。‖曉東作“涎”，涎，《廣韻》平聲仙韻夕連切“口液也”。和崇明話聲母不合。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
延长(延長)	延長	向长的方面发展：辰光～特（时间增加了）。(向長的方面發展：辰光～特（時間增加了）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
言恘大好(言恘大好)	言恘大好	不满意这个不满意那个：你～忒疙瘩（你不满这不满那太不随和）。 ‖可能是“言愀道好”的变音。(不滿意這個不滿意那個：你～忒疙瘩（你不滿這不滿那太不隨和）。‖可能是“言愀道好”的變音。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
岩石(岩石)	岩石	山上的大石。(山上的大石。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
沿(沿)	沿	一种缝纫方法，用布条缝包边儿：～袖口。 ｜～交领（缝包领子的边）。 ②指编织竹篾器具时封口：～口。 ‖另见。(一種縫紉方法，用布條縫包邊兒：～袖口。｜～交領（縫包領子的邊）。②指編織竹篾器具時封口：～口。‖另見。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
沿(沿)	沿	顺着（路）：～路。 ②边沿：路～浪（路边沿处）。 ‖地名“港沿”(順著（路）：～路。②邊沿：路～浪（路邊沿處）。‖地名“港沿”)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
沿大里/沿啦里(沿大裏/沿啦裏)	沿大裏/沿啦裏	见〖连啦里(見〖連啦裏)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
沿滚条(沿滾條)	沿滾條	用布条来缝包衣服的布边。(用布條來縫包衣服的布邊。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
沿口(沿口)	沿口	编织竹篾的篮子、箩筐等的封口：夷做个只箩勒勒～特（他编的那个箩筐在封口了）。(編織竹篾的籃子、籮筐等的封口：夷做個隻籮勒勒～特（他編的那個籮筐在封口了）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
沿路(沿路)	沿路	路边：夷特屋里就勒～他家就在路边。 ②一路上：晓得娘无得特，夷～哭转来（知道母亲去世了，他一路哭回家）。(路邊：夷特屋裏就勒～他家就在路邊。②一路上：曉得娘無得特，夷～哭轉來（知道母親去世了，他一路哭回家）。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
沿鞋口(沿鞋口)	沿鞋口	用布条缝包鞋口。(用布條縫包鞋口。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
研(研)	研	研磨：拿烂泥块～～碎（把土磨碎了）。 ②用手指捏灭火星：灯芯～隐夷（灯芯捏灭了）。拧，转紧：～螺丝。深入探求：～究。 ︱钻～。 ‖另见，。(研磨：拿爛泥塊～～碎（把土磨碎了）。②用手指捏滅火星：燈芯～隱夷（燈芯捏滅了）。擰，轉緊：～螺絲。深入探求：～究。︱鑽～。‖另見，。)	[暂无]	拼音暂无(IPA暂无)	崇明片	崇明·崇明	崇明方言大词典	true	chongming		自旧档汇入	2026-09-16T16:01:28+08:00
