vocabulary,originalEntry,explanation,example,pinYin,location,place,source
？(？),？,把东西抛过去（把東西拋過去）,[暂无],拼音暂无(IPA暂无),泖西小片,青浦·蒸淀,蒸淀志
[khuo]([khuo]),[原写法即现写法],往灶头里送柴火（往灶頭裏送柴火）,[暂无],kʰuo(IPA暂无),华娄小片,金山·朱泾,朱泾镇【散记】
[phan]东米([phan]東米),[原写法即现写法],一种食物（一種食物）,[暂无],拼音暂无(IPA暂无),华娄小片,金山·朱泾,朱泾镇【散记】
{曾阿}({曾阿}),{曾阿},[副词]可曾an （[副詞]可曾 an）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
□(□),[原写法即现写法],捡起。|| 又音ȵioʔ²³。（撿起。 || 又音ȵioʔ²³。）,[暂无],gnioeq (ȵyœʔ²³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],同〖□〗ha⁵³，〈动〉切：橙~一~。（同〖□〗ha⁵³，〈動〉切：橙~一~。）,[暂无],a (a³⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],原来收缩的东西展开：牙刷~脱。（原來收縮的東西展開：牙刷~脫。）,[暂无],bu (bu¹³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈名〉衣裤、袜子上的纹路。（〈名〉衣褲、襪子上的紋路。）,[暂无],cien (tɕiəŋ³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉蹭：袖子管覅~垃浪。（〈動〉蹭：袖子管覅~垃浪。）,[暂无],gan (gã²²),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],卡住：脑子~牢嘚。（卡住：脑子~牢嘚。）,[暂无],gaoq (gɔʔ²³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉倔强，固执。（〈動〉倔強，固執。）,[暂无],gen (gəŋ¹³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉（面条等）胀：还勿吃面要~脱得。（〈動〉（麵條等）脹：還勿吃麵要~脫得。）,[暂无],gni (ȵi¹³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉涌入：~满。同（〈動〉湧入：~滿。同）,[暂无],gon (goŋ¹³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],事体全部~垃一淘。（事體全部~垃一淘。）,[暂无],goq (goʔ²³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈形〉直爽。（〈形〉直爽。）,[暂无],guae (guɛ¹³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉切：手节头管畀垃~着一记。五角场、浦东也说，见于杨剑桥《上海方言词汇补》。（〈動〉切：手節頭管畀垃~着一記。五角場、浦東也說，見於楊劍橋《上海方言詞彙補》。）,[暂无],ha (ha⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉①抚养：~小囡| 小囡~大勿容易嗰。②制作，准备：~菜。|| 嘉宝方言，五角场也说。（〈動〉①撫養：~小囡 | 小囡~大勿容易嗰。②製作，準備：~菜。 || 嘉寶方言，五角場也說。）,[暂无],han (hã³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉把卡在食道里面的东西通过气流排出来。（〈動〉把卡在食道裏面的東西通過氣流排出來。）,[暂无],haoq (hɔʔ⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉泛起来：风疹块~起来。（〈動〉泛起來：風疹塊~起來。）,[暂无],heu (hɤ³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈副〉作状语，在此：餐巾纸厾~。同〖壗〗hɛ³⁵。（〈副〉作狀語，在此：餐巾紙厾~。同〖壗〗hɛ³⁵。）,[暂无],heu (hɤ⁴⁴ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉板面孔：面孔么一~。（〈動〉板面孔：面孔么一~。）,[暂无],heu (hɤ⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉嘴直接接在碗沿进食：~饭。（〈動〉嘴直接接在碗沿進食：~飯。）,[暂无],heu (hɤ⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],揭：盖头~开来。|| 又音ɕiɪʔ⁵。读h可能是声母发展滞后的缘故。（揭：蓋頭~開來。 || 又音ɕiɪʔ⁵。讀h可能是聲母發展滯後的緣故。）,[暂无],hiq (hɪʔ⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉捧：~牢渠，覅放脱。（〈動〉捧：~牢渠，覅放脫。）,[暂无],hon (hoŋ⁴⁴),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉捂。（〈動〉捂。）,[暂无],hon (hoŋ⁴⁴),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],偷偷地看：侬忒我~~看。（偷偷地看：儂忒我~~看。）,[暂无],ia (ia⁵³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],碾压：畀垃火车~杀脱。（碾壓：畀垃火車~殺脫。）,[暂无],khae (kʰɛ³⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉摸。（〈動〉摸。）,[暂无],kuaon (kuɑ̃³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉磕：牙齿~脱。（〈動〉磕：牙齒~脫。）,[暂无],len (ləŋ²² ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],〈动〉挖：吃下去物事~勿出来嗰，故咾勿要吃来忒多。（〈動〉挖：吃下去物事~勿出來嗰，故咾勿要吃來忒多。）,[暂无],leu (lɤ¹³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],流（唾液）：~馋唾水。声调不明。（流（唾液）：~饞唾水。聲調不明。）,[暂无],li (li¹³),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],系：保险带~个~好。（系：保險帶~個~好。）,[暂无],pae (ɓɛ³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□(□),[原写法即现写法],出手阔气，不心疼。（出手闊氣，不心疼。）,[暂无],phaon (pʰɑ̃⁵³),本沪小片,嘉定·真如,真如吴语词语整理稿
