【黄胖日头】,【黄胖日头】,whangpangnikdhou,ɦuɑ̃ pʰɑ̃ ȵiɪʔ dɤ ,〈名〉夏天被薄云层遮蔽住而不明亮的太阳。,waon22phaon55gniq2deu21
【暗】,【暗】,oe,ø ,暗,oe34
【暗头里】,【暗头里】,oedhouli,ø dɤ li ,光线暗的地方：勿要辣～写字看书。,oe33 deu55 li21
【背暗】,【背暗】,bheoe,bᴇ ø ,光线被遮住：侬写字辰光，勿要～。,be22 oe44
【月牙牙】,【月牙牙】,yhuiknganga,ɦyʔ ŋɑ̃ a ,月牙。,yuk1 nga22 nga23
【月亮光】,【月亮光】,yhuiklanguang/yhoklanguang(yhuikliangguang),ɦyʔ lɑ̃ uɑ̃ /ɦioʔ lɑ̃ uɑ̃ (ɦyʔ liɑ̃ kuɑ̃ ),月光。,yoq1 lian22 kuan23
【月亮头里】,【月亮头里】,yhuiklandhouli/yhok landhouli(yhuikliangdhouli),ɦyʔ la ̃ dɤ li /ɦioʔ la ̃ dɤ li (ɦyʔ liɑ̃ dɤ li ),月亮底下。,yoq1 lian22 deu22 li23
【黄昏星】,【黄昏星】,whanghunxin,ɦuɑ̃ huəŋ ɕiŋ ,〈名〉金星。,waon22 huen55 shin21
【流星】,【流星】,liuxin,liɤ ɕiŋ ,流星,lieu22 shin44
【彗星】,【彗星】,whexin,ɦuᴇ ɕiŋ ,彗星,we22 shin44
【银河】,【银河】,ninwhu,ȵiŋ ɦu ,银河,gnin22 wu44
【飓风】,【飓风】,jhufong,dʑu foŋ ,〈名〉特大的狂风。,jiu22 fon44
【龙卷风】,【龙卷风】,longjuoefong(longjufong),loŋ tɕyø foŋ (loŋ tɕy foŋ ),龙卷风,lon22 cioe55 fon21
【鬼头风】,【鬼头风】,judhoufong,tɕy dɤ foŋ ,〈名〉一阵吹歪嘴巴的急旋风。,ciu33 deu55 fon21
【风色】,【风色】,°fongsak,’foŋ sᴀʔ ,〈名〉风向和风力大小。,fon55 saq21
【吹风】,【吹风】,ci °fong,tsʰi ’foŋ ,①刮风。②用吹风机将热空气吹到头发上，使之定型。③受风寒，着凉：侬搿两天身体蛮弱，当心勿要吹着风。,tshy55 fon21
【龙取水】,【龙取水】,longqusy,loŋ tɕʰy sɿ ,①远处一团黑云拖出一条粗细不等的长尾。②远处的风卷风。,lon22 chiu55 sy21
【风静了】,【风静了】,°fong xhinlek(°fong xhinlak),’foŋ ʑiŋ ləʔ (’foŋ ʑiŋ lᴀʔ ),风止了。,fon52 zhin22 leq4
【风停了】,【风停了】,°fong dhinlek(°fong dhinlak),’foŋ diŋ ləʔ (’foŋ diŋ lᴀʔ ),风住了。,fon52 din22 leq4
【早霞】,【早霞】,zaoyha,tsɔ ɦia ,早霞,tsau33 ya44
【晚霞】,【晚霞】,weyha,uᴇ ɦia ,晚霞,ue33 ya44
【忽闪】,【忽闪】,hokxi,hoʔ ɕi ,①〈动〉打闪。②〈名〉闪电。◇俗写作“霍险”。,hoq3 shi44
【黄梅雨】,【黄梅雨】,whangmeyhu,ɦuɑ̃ mᴇ ɦy ,〈名〉夏历五月里梅子黄熟时江南多阴多雨天气。指这时的季节性雨。,waon22 me55 yu21
【秋赖柴】,【秋赖柴】,°qiulasha,’tɕʰiɤ la za ,立秋后的连续阴雨。,chieu55 la33 za21
【雨停了】,【雨停了】,yhu dhinlek(yhu dhinlak),ɦy diŋ ləʔ (ɦy diŋ lᴀʔ ),雨停了,yu23 din22 leq4
【凌凙儿】,【凌凙儿】,lindhang,liŋ dɑ̃ ,〈名〉檐前挂的冰锥儿。俗写作“凌宕”。,lin22 daon44
【冰烊了】,【冰烊了】,°bin yhanlek(°bin yhanglak),’piŋ ɦia ̃ ləʔ (’piŋ ɦiɑ̃ lᴀʔ ),冰化了。,pin52 yan22 leq4
【雾】,【雾】,whu,ɦu ,雾,wu23
【迷雾】,【迷雾】,miwhu,mi ɦu ,〈名〉雾。,mi22 wu44
【起雾】,【起雾】,qi whu,tɕʰi ɦu ,下雾。,chi33 wu44
【暗霜】,【暗霜】,oesang,ø sɑ̃ ,〈名〉黎明前已融化了、早晨见不到的霜。,oe33 saon44
【坏天气】,【坏天气】,whatiqi,ɦu a tʰi tɕʰi ,坏天气,wa22 thi55 chi21
【恘天气】,【恘天气】,°qiutiqi,’tɕʰiɤ tʰi tɕʰi ,﹝旧﹞坏天气。,chieu55 thi33 chi21
【天恘】,【天恘】,ti°qiu,tʰi ’tɕʰiɤ ,﹝旧﹞天气不好。,thi55 chieu21
【寒潮】,【寒潮】,hoeshao,hø zɔ ,寒潮,ghoe22 zau44
【秋天(辰)光】,【秋天(辰)光】,°qiutiguang/qiutishenguang,’tɕʰiɤ tʰi kuɑ̃ /tɕʰiɤ tʰi zəŋ kuɑ̃ ,秋天时。,cieu55 thi33 zen33 kuaon21
【还潮天(气)】,【还潮天(气)】,wheshaotiqi/wheshaoti,ɦuᴇ zɔ tʰi tɕʰi /ɦuᴇ zɔ tʰi ,潮湿天气。,we22 zau55 thi33 chi21
【风凉日脚】,【风凉日脚】,°fongliannikjik,’foŋ lia ̃ ȵiɪʔ tɕiɪʔ ,凉快日子。,fon55 lian33 gniq3 ciaq21
【乌苏天】,【乌苏天】,°wusut i,’u su tʰ i ,〈名〉潮湿而闷热的天气。,u55 su33 thi21
【拗春冷】,【拗春冷】,aocenlan(aocenlang),ɔ tsʰəŋ la ̃ (ɔ tsʰəŋ lɑ̃ ),冬天不太冷，但接着春寒料峭，人感到特别冷。,au33 tshen55 lan21
