where,word,mean,pinYin,toggle,pinYinSearch,Pronunciation,tone,pinYinRadical
松江,猪(豬),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,知(知),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,蜘(蜘),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,支(支),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,枝(枝),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,肢(肢),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,栀(梔),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,资(資),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,咨(諮),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,姿(姿),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,恣(恣),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,脂(脂),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,兹(茲),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,滋(滋),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,孳(孳),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,之(之),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,芝(芝),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,辎(輜),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,缁(緇),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,孜(孜),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,髭(髭),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,吱(吱),,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,锥(錐),刺入,tsy1(ʦɿ⁵³),TRUE,tsy1,,53,ʦɿ
松江,紫(紫),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,只(只),文，~有,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,卮(卮),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,纸(紙),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,姊(姊),~妹,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,旨(旨),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,指(指),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,梓(梓),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,滓(滓),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,子(子),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,仔(仔),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,籽(籽),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,止(止),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,址(址),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,趾(趾),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,芷(芷),,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,徵(徵),五音之一,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,嘴(嘴),白,tsy3(ʦɿ⁴⁴),TRUE,tsy3,,44,ʦɿ
松江,制(制),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,製(製),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,智(智),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,眵(眵),眼~,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,至(至),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,致(致),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,緻(緻),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,置(置),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,志(志),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,誌(誌),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,痣(痣),,tsy5(ʦɿ³⁵),TRUE,tsy5,,35,ʦɿ
松江,褚(褚),,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,雌(雌),,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,差(差),,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,痴(痴),,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,蚩(蚩),,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,嗤(嗤),,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,吹(吹),白,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,炊(炊),~饭糕，俗作“粢”,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,粢(粢),,tshy1(ʦʰɿ⁵³),TRUE,tshy1,,53,ʦʰɿ
松江,此(此),,tshy3(ʦʰɿ⁴⁴),TRUE,tshy3,,44,ʦʰɿ
松江,耻(恥),,tshy3(ʦʰɿ⁴⁴),TRUE,tshy3,,44,ʦʰɿ
松江,齿(齒),,tshy3(ʦʰɿ⁴⁴),TRUE,tshy3,,44,ʦʰɿ
松江,侈(侈),,tshy3(ʦʰɿ⁴⁴),TRUE,tshy3,,44,ʦʰɿ
松江,刺(刺),,tshy5(ʦʰɿ³⁵),TRUE,tshy5,,35,ʦʰɿ
松江,翅(翅),,tshy5(ʦʰɿ³⁵),TRUE,tshy5,,35,ʦʰɿ
松江,次(次),,tshy5(ʦʰɿ³⁵),TRUE,tshy5,,35,ʦʰɿ
松江,伺(伺),,tshy5(ʦʰɿ³⁵),TRUE,tshy5,,35,ʦʰɿ
松江,厕(廁),,tshy5(ʦʰɿ³⁵),TRUE,tshy5,,35,ʦʰɿ
松江,蛓(蛓),,tshy5(ʦʰɿ³⁵),TRUE,tshy5,,35,ʦʰɿ
松江,梳(梳),白，~头，木~,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,斯(斯),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,撕(撕),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,厮(廝),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,嘶(嘶),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,施(施),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,筛(篩),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,师(師),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,狮(獅),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,蛳(螄),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,尸(屍),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,屍(屍),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,丝(絲),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,私(私),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,司(司),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,思(思),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,诗(詩),,sy1(sɿ⁵³),TRUE,sy1,,53,sɿ
松江,鼠(鼠),白,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,豕(豕),,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,死(死),文,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,屎(屎),,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,矢(矢),,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,水(水),白,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,使(使),,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,史(史),,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,驶(駛),,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,始(始),,sy3(sɿ⁴⁴),TRUE,sy3,,44,sɿ
松江,世(世),,sy5(sɿ³⁵),TRUE,sy5,,35,sɿ
松江,势(勢),,sy5(sɿ³⁵),TRUE,sy5,,35,sɿ
松江,赐(賜),,sy5(sɿ³⁵),TRUE,sy5,,35,sɿ
松江,四(四),,sy5(sɿ³⁵),TRUE,sy5,,35,sɿ
松江,泗(泗),,sy5(sɿ³⁵),TRUE,sy5,,35,sɿ
松江,肆(肆),,sy5(sɿ³⁵),TRUE,sy5,,35,sɿ
松江,试(試),,sy5(sɿ³⁵),TRUE,sy5,,35,sɿ
松江,弑(弒),,sy5(sɿ³⁵),TRUE,sy5,,35,sɿ
松江,锄(鋤),白,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,疵(疵),吹毛求~,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,池(池),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,驰(馳),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,匙(匙),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,瓷(瓷),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,迟(遲),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,慈(慈),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,磁(磁),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,辞(辭),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,词(詞),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,祠(祠),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,持(持),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,时(時),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,鲥(鰣),,zy2(zɿ³¹),TRUE,zy2,,31,zɿ
松江,墅(墅),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,是(是),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,雉(雉),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,似(似),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,巳(巳),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,祀(祀),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,俟(俟),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,痔(痔),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,市(市),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,柿(柿),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,恃(恃),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,士(士),,zy4(zɿ²²),TRUE,zy4,,22,zɿ
松江,滞(滯),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,誓(誓),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,逝(逝),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,氏(氏),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,豉(豉),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,餈(餈),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,糍(糍),饭~,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,自(自),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,稚(稚),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,嗜(嗜),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,示(示),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,视(視),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,字(字),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,治(治),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,寺(寺),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,侍(侍),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,嗣(嗣),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,饲(飼),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,士(士),又,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,仕(仕),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,似(似),又,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,事(事),,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,睡(睡),~眬眬,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,坠(墜),白,zy6(zɿ¹³),TRUE,zy6,,13,zɿ
松江,屄(屄),,pi1(ɓi⁵³),TRUE,pi1,,53,ɓi
松江,蓖(蓖),,pi1(ɓi⁵³),TRUE,pi1,,53,ɓi
松江,篦(篦),,pi1(ɓi⁵³),TRUE,pi1,,53,ɓi
松江,边(邊),,pi1(ɓi⁵³),TRUE,pi1,,53,ɓi
松江,鞭(鞭),,pi1(ɓi⁵³),TRUE,pi1,,53,ɓi
松江,编(編),,pi1(ɓi⁵³),TRUE,pi1,,53,ɓi
松江,蝙(蝙),,pi1(ɓi⁵³),TRUE,pi1,,53,ɓi
松江,彼(彼),,pi3(ɓi⁴⁴),TRUE,pi3,,44,ɓi
松江,比(比),,pi3(ɓi⁴⁴),TRUE,pi3,,44,ɓi
松江,鄙(鄙),,pi3(ɓi⁴⁴),TRUE,pi3,,44,ɓi
松江,贬(貶),,pi3(ɓi⁴⁴),TRUE,pi3,,44,ɓi
松江,扁(扁),,pi3(ɓi⁴⁴),TRUE,pi3,,44,ɓi
松江,匾(匾),,pi3(ɓi⁴⁴),TRUE,pi3,,44,ɓi
松江,蔽(蔽),,pi5(ɓi³⁵),TRUE,pi5,,35,ɓi
松江,闭(閉),,pi5(ɓi³⁵),TRUE,pi5,,35,ɓi
松江,裨(裨),,pi5(ɓi³⁵),TRUE,pi5,,35,ɓi
松江,臂(臂),,pi5(ɓi³⁵),TRUE,pi5,,35,ɓi
松江,泌(泌),,pi5(ɓi³⁵),TRUE,pi5,,35,ɓi
