where,word,mean,pinYin,pinYinSearch,Pronunciation
宝山·罗泾,嬉(嬉),[空],shi1(ɕi⁵²),shi1,暂无
宝山·罗泾,彭(彭),[空],ban2(bã²³¹),ban2,暂无
宝山·罗泾,朽(朽),[空],shiu3(ɕy³³⁴),shiu3,暂无
宝山·罗泾,蚌(蚌),[空],ban6(bã²¹³),ban6,暂无
宝山·罗泾,粤(粵),[空],ioq7(ʔioʔ⁴),ioq7,暂无
宝山·罗泾,拔(拔),[空],baq8(bᴀʔ¹²),baq8,暂无
宝山·罗泾,朋(朋),[空],ban2(bã²³¹),ban2,暂无
宝山·罗泾,棚(棚),[空],ban2(bã²³¹),ban2,暂无
宝山·罗泾,膨(膨),[空],ban2(bã²³¹),ban2,暂无
宝山·罗泾,排(排),[空],ba2(bɑ²³¹),ba2,暂无
宝山·罗泾,牌(牌),[空],ba2(bɑ²³¹),ba2,暂无
宝山·罗泾,旁(旁),[空],baon2(bɒ̃²³¹),baon2,暂无
宝山·罗泾,滂(滂),[空],baon2(bɒ̃²³¹),baon2,暂无
宝山·罗泾,螃(螃),[空],baon2(bɒ̃²³¹),baon2,暂无
宝山·罗泾,防(防),[空],baon2(bɒ̃²³¹),baon2,暂无
宝山·罗泾,庞(龐),[空],baon2(bɒ̃²³¹),baon2,暂无
宝山·罗泾,败(敗),[空],ba6(bɑ²¹³),ba6,暂无
宝山·罗泾,稗(稗),[空],ba6(bɑ²¹³),ba6,暂无
宝山·罗泾,罢(罷),[空],ba6(bɑ²¹³),ba6,暂无
宝山·罗泾,傍(傍),[空],baon6(bɒ̃²¹³),baon6,暂无
宝山·罗泾,棒(棒),[空],baon6(bɒ̃²¹³),baon6,暂无
宝山·罗泾,白(白),[空],baq8(bᴀʔ¹²),baq8,暂无
宝山·罗泾,钹(鈸),[空],baq8(bᴀʔ¹²),baq8,暂无
宝山·罗泾,刨(刨),[空],bau2(bɔ²³¹),bau2,暂无
宝山·罗泾,袍(袍),[空],bau2(bɔ²³¹),bau2,暂无
宝山·罗泾,跑(跑),[空],bau2(bɔ²³¹),bau2,暂无
宝山·罗泾,抱(抱),[空],bau6(bɔ²¹³),bau6,暂无
宝山·罗泾,暴(暴),[空],bau6(bɔ²¹³),bau6,暂无
宝山·罗泾,曝(曝),[空],bau6(bɔ²¹³),bau6,暂无
宝山·罗泾,瀑(瀑),[空],bau6(bɔ²¹³),bau6,暂无
宝山·罗泾,爆(爆),~炸,bau6(bɔ²¹³),bau6,暂无
宝山·罗泾,刨(鉋),[空],bau6(bɔ²¹³),bau6,暂无
宝山·罗泾,雹(雹),[空],bau6(bɔ²¹³),bau6,暂无
宝山·罗泾,鲍(鮑),[空],bau6(bɔ²¹³),bau6,暂无
宝山·罗泾,爿(爿),[空],bae2(bɛ²³¹),bae2,暂无
宝山·罗泾,盆(盆),[空],ben2(bɛ̃²³¹),ben2,暂无
宝山·罗泾,盟(盟),[空],ben2(bɛ̃²³¹),ben2,暂无
宝山·罗泾,办(辦),[空],bae6(bɛ²¹³),bae6,暂无
宝山·罗泾,笨(笨),[空],ben6(bɛ̃²¹³),ben6,暂无
宝山·罗泾,勃(勃),[空],beq8(bəʔ¹²),beq8,暂无
宝山·罗泾,馍(饃),[空],beq8(bəʔ¹²),beq8,暂无
