where,word,mean,pinYin,pinYinSearch,Pronunciation
崇明,朱(朱),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,猪(豬),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,珠(珠),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,诸(諸),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,藷(藷),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,株(株),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,诛(誅),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,褚(褚),姓,tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,渚(渚),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,铢(銖),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,蛛(蛛),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,茱(茱),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,潴(瀦),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,洙(洙),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,侏(侏),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,絑(絑),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,朱(朱),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,之(之),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,知(知),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,枝(枝),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,支(支),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,智(智),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,芝(芝),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,脂(脂),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,肢(肢),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,吱(吱),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,卮(卮),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,酯(酯),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,蜘(蜘),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,觯(觶),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,资(資),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,滋(滋),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,嗞(嗞),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,孳(孳),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,孜(孜),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,姿(姿),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,咨(諮),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,恣(恣),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,咨(諮),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,辎(輜),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,缁(緇),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,淄(淄),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,鲻(鯔),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,菑(菑),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,雉(雉),[空],tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,锥(錐),~钻(锥子),tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,栽(栽),~跟斗(翻跟斗)；~几粒豆,tsy1(tsɿ⁵⁵),tsy1,暂无
崇明,煮(煮),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,主(主),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,炷(炷),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,助(助),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,拄(拄),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,箸(箸),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,豸(豸),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,彘(彘),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,指(指),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,纸(紙),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,止(止),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,子(子),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,仔(仔),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,籽(籽),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,姊(姊),~妹(妹妹),tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,滓(滓),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,梓(梓),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,趾(趾),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,嘴(嘴),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,祗(祗),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,帜(幟),[空],tsy3(tsɿ⁴²⁴),tsy3,暂无
崇明,置(置),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,致(致),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,至(至),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,志(志),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,痣(痣),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,制(制),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,驻(駐),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,铸(鑄),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,注(注),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,蛀(蛀),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,址(址),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,着(著),显~,tsy5(tsɿ³³),tsy5,暂无
崇明,注(注),[空],tsy5(tsɿ³³),tsy5,暂无
崇明,枢(樞),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,雌(雌),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,痴(癡),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,嗤(嗤),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,魑(魑),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,侈(侈),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,鸱(鴟),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,媸(媸),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,蚩(蚩),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,啻(啻),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,笞(笞),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,差(差),参~,tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,吹(吹),白读,tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,踟(踟),[空],tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,眵(眵),眼~(眼屎),tshy1(tsʰɿ⁵⁵),tshy1,暂无
崇明,此(此),[空],tshy3(tsʰɿ⁴²⁴),tshy3,暂无
崇明,耻(恥),[空],tshy3(tsʰɿ⁴²⁴),tshy3,暂无
崇明,处(處),~分；~理,tshy3(tsʰɿ⁴²⁴),tshy3,暂无
崇明,处(處),住~,tshy5(tsʰɿ³³),tshy5,暂无
崇明,鼠(鼠),[空],tshy5(tsʰɿ³³),tshy5,暂无
崇明,齿(齒),[空],tshy5(tsʰɿ³³),tshy5,暂无
崇明,次(次),[空],tshy5(tsʰɿ³³),tshy5,暂无
崇明,刺(刺),[空],tshy5(tsʰɿ³³),tshy5,暂无
崇明,厕(廁),[空],tshy5(tsʰɿ³³),tshy5,暂无
崇明,翅(翅),[空],tshy5(tsʰɿ³³),tshy5,暂无
崇明,疵(疵),[空],tshy5(tsʰɿ³³),tshy5,暂无
崇明,除(除),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,储(儲),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,厨(廚),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,橱(櫥),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,滁(滁),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,磁(磁),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,词(詞),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,兹(茲),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,慈(慈),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,辞(辭),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,瓷(瓷),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,糍(糍),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,伺(伺),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,持(持),坚~,dzy2(dzɿ²⁴),dzy2,暂无
崇明,驰(馳),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,池(池),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,迟(遲),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,墀(墀),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,嗣(嗣),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,饲(飼),[空],dzy2(dzɿ²⁴),dzy2,暂无
崇明,稚(稚),幼~,dzy2(dzɿ²⁴),dzy2,暂无
崇明,柱(柱),[空],dzy4(dzɿ²⁴²),dzy4,暂无
崇明,躇(躇),踌~,dzy4(dzɿ²⁴²),dzy4,暂无
崇明,持(持),维~,dzy4(dzɿ²⁴²),dzy4,暂无
崇明,住(住),[空],dzy6(dzɿ³¹³),dzy6,暂无
崇明,治(治),[空],dzy6(dzɿ³¹³),dzy6,暂无
崇明,舒(舒),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,书(書),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,梳(梳),白读：~头,sy1(sɿ⁵⁵),sy1,暂无
崇明,疏(疏),白读：粗~(粗糙),sy1(sɿ⁵⁵),sy1,暂无
崇明,输(輸),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,丝(絲),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,斯(斯),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,思(思),~念,sy1(sɿ⁵⁵),sy1,暂无
崇明,司(司),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,私(私),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,撕(撕),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,嘶(嘶),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,厮(廝),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,咝(噝),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,锶(鍶),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,笥(笥),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,蛳(螄),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,施(施),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,诗(詩),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,尸(屍),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,尸(屍),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,师(師),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,尿(尿),白读。和北京话尿一读sui的音对应,sy1(sɿ⁵⁵),sy1,暂无
崇明,屎(屎),文读,sy1(sɿ⁵⁵),sy1,暂无
崇明,狮(獅),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,施(施),[空],sy1(sɿ⁵⁵),sy1,暂无
崇明,死(死),一读喜,sy3(sɿ⁴²⁴),sy3,暂无
崇明,史(史),[空],sy3(sɿ⁴²⁴),sy3,暂无
崇明,使(使),动词,sy3(sɿ⁴²⁴),sy3,暂无
崇明,始(始),[空],sy3(sɿ⁴²⁴),sy3,暂无
崇明,矢(矢),[空],sy3(sɿ⁴²⁴),sy3,暂无
崇明,暑(暑),[空],sy3(sɿ⁴²⁴),sy3,暂无
崇明,驶(駛),[空],sy3(sɿ⁴²⁴),sy3,暂无
崇明,水(水),白读,sy3(sɿ⁴²⁴),sy3,暂无
崇明,黍(黍),[空],sy3(sɿ⁴²⁴),sy3,暂无
崇明,豕(豕),[空],sy3(sɿ⁴²⁴),sy3,暂无
崇明,四(四),[空],sy5(sɿ³³),sy5,暂无
崇明,思(思),意~,sy5(sɿ³³),sy5,暂无
崇明,世(世),[空],sy5(sɿ³³),sy5,暂无
