where,word,mean,pinYin,pinYinSearch,Pronunciation
奉贤,多(多),[空],tu1(ɗu⁵³),tu1,暂无
奉贤,多(多),[空],ta1(ɗɑ⁵³),ta1,暂无
奉贤,拖(拖),[空],thu1(tʰu⁵³),thu1,暂无
奉贤,拖(拖),[空],tha1(tʰɑ⁵³),tha1,暂无
奉贤,他(他),[空],tha1(tʰɑ⁵³),tha1,暂无
奉贤,舵(舵),[空],du6(du¹¹³),du6,暂无
奉贤,大(大),[空],du6(du¹¹³),du6,暂无
奉贤,大(大),[空],da6(dɑ¹¹³),da6,暂无
奉贤,罗(羅),[空],lu2(lu³¹),lu2,暂无
奉贤,锣(鑼),[空],lu2(lu³¹),lu2,暂无
奉贤,箩(籮),[空],lu2(lu³¹),lu2,暂无
奉贤,左(左),[空],tsu3(tsu⁴⁴),tsu3,暂无
奉贤,左(左),[空],tsi3(tsi⁴⁴),tsi3,暂无
奉贤,搓(搓),[空],tshu1(tsʰu⁵³),tshu1,暂无
奉贤,歌(歌),[空],ku1(ku⁵³),ku1,暂无
奉贤,哥(哥),[空],ku1(ku⁵³),ku1,暂无
奉贤,个(個),[空],keu5(kɯ³³⁵),keu5,暂无
奉贤,个(個),[空],ku5(ku³³⁵),ku5,暂无
奉贤,可(可),[空],khau3(kʰɔ⁴⁴),khau3,暂无
奉贤,鹅(鵝),[空],ngu2(ŋu³¹),ngu2,暂无
奉贤,蛾(蛾),[空],ngu2(ŋu³¹),ngu2,暂无
奉贤,俄(俄),[空],ngu2(ŋu³¹),ngu2,暂无
奉贤,我(我),[空],ngu6(ŋu¹¹³),ngu6,暂无
奉贤,我(我),[空],ngu1(ŋu⁵³),ngu1,暂无
奉贤,饿(餓),[空],ngu6(ŋu¹¹³),ngu6,暂无
奉贤,何(何),[空],vu2(βu³¹),vu2,暂无
奉贤,河(河),[空],vu2(βu³¹),vu2,暂无
奉贤,荷(荷),[空],vu2(βu³¹),vu2,暂无
奉贤,贺(賀),[空],vu6(βu¹¹³),vu6,暂无
奉贤,阿(阿),[空],u1(∅u⁵³),u1,暂无
奉贤,阿(阿),[空],aeq7(∅æʔ⁵),aeq7,暂无
