where,word,mean,pinYin,pinYinSearch,Pronunciation
嘉定·真如(南),多(多),~少,tu1(ɗu⁵³),tu1,暂无
嘉定·真如(南),多(多),[白]~个,ta1(ɗa⁵³),ta1,暂无
嘉定·真如(南),拖(拖),[空],thu1(tʰu⁵³),thu1,暂无
嘉定·真如(南),拖(拖),[白]~鼻涕。,tha1(tʰa⁵³),tha1,暂无
嘉定·真如(南),他(他),[空],tha1(tʰa⁵³),tha1,暂无
嘉定·真如(南),驼(駝),[空],du2(du²²),du2,暂无
嘉定·真如(南),驮(馱),[空],du2(du²²),du2,暂无
嘉定·真如(南),舵(舵),[空],du6(du¹³),du6,暂无
嘉定·真如(南),大(大),[白]~小,du6(du¹³),du6,暂无
嘉定·真如(南),大(大),[文]~卖场,da6(da¹³),da6,暂无
嘉定·真如(南),罗(羅),[空],lu2(lu²²),lu2,暂无
嘉定·真如(南),锣(鑼),[空],lu2(lu²²),lu2,暂无
嘉定·真如(南),箩(籮),[空],lu2(lu²²),lu2,暂无
嘉定·真如(南),萝(蘿),藤~,lu2(lu²²),lu2,暂无
嘉定·真如(南),萝(蘿),~卜,lau2(lɔ²²),lau2,暂无
嘉定·真如(南),左(左),[空],tsu3(tsu⁴⁴),tsu3,暂无
嘉定·真如(南),做(做),[空],tsu5(tsu³⁵),tsu5,暂无
嘉定·真如(南),搓(搓),[空],tshu1(tsʰu⁵³),tshu1,暂无
嘉定·真如(南),歌(歌),[空],ku1(ku⁵³),ku1,暂无
嘉定·真如(南),哥(哥),[空],ku1(ku⁵³),ku1,暂无
嘉定·真如(南),个(個),[文]个人,ku5(ku³⁵),ku5,暂无
嘉定·真如(南),个(個),儿化音,koe5(kø³⁵),koe5,暂无
嘉定·真如(南),个(個),[白]量词,eq7(Øəʔ⁵),eq7,暂无
嘉定·真如(南),可(可),[空],khu3(kʰu⁴⁴),khu3,暂无
嘉定·真如(南),鹅(鵝),[空],ngu2(ŋu²²),ngu2,暂无
嘉定·真如(南),蛾(蛾),[空],ngu2(ŋu²²),ngu2,暂无
嘉定·真如(南),俄(俄),[空],ngu2(ŋu²²),ngu2,暂无
嘉定·真如(南),我(我),[空],ngu6(ŋu¹³),ngu6,暂无
嘉定·真如(南),我(我),[空],ng2(Øŋ²²),ng2,暂无
嘉定·真如(南),饿(餓),[空],ngu6(ŋu¹³),ngu6,暂无
嘉定·真如(南),何(何),[文]数学~何,vu2(βu²²),vu2,暂无
嘉定·真如(南),何(何),[白]~浪,gha2(ɦa²²),gha2,暂无
嘉定·真如(南),荷(荷),[空],vu2(βu²²),vu2,暂无
嘉定·真如(南),贺(賀),[空],vu6(βu¹³),vu6,暂无
嘉定·真如(南),阿(阿),[文]~胶,u1(Øu⁵³),u1,暂无
嘉定·真如(南),阿(阿),[白]~姨、~㸙、~叔，人称前缀也可念作这一发音，如“~丽”,a1(Øa⁵³),a1,暂无
嘉定·真如(南),阿(阿),[空],aeq7(Øæʔ⁵),aeq7,暂无
嘉定·真如(南),茄(茄),[空],ga2(ɡa²²),ga2,暂无
嘉定·真如(南),茄(茄),[空],jia2(dʑia²²),jia2,暂无
嘉定·真如(南),波(波),[空],pu1(ɓu⁵³),pu1,暂无
嘉定·真如(南),波(波),[俗]浙江宁~,poq7(ɓoʔ⁵),poq7,暂无
嘉定·真如(南),菠(菠),[空],pu1(ɓu⁵³),pu1,暂无
嘉定·真如(南),颇(頗),[空],phu1(pʰu⁵³),phu1,暂无
