where,word,mean,pinYin,Pronunciation
上海·市区(中新派),髭(髭),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),龇(齜),~牙,tsy1(tsɿ⁵³),暂无
上海·市区(中新派),资(資),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),姿(姿),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),咨(諮),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),兹(茲),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),滋(滋),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),孳(孳),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),孜(孜),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),淄(淄),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),辎(輜),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),锱(錙),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),知(知),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),蜘(蜘),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),支(支),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),肢(肢),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),枝(枝),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),栀(梔),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),吱(吱),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),脂(脂),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),芝(芝),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),智(智),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),猪(豬),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),诸(諸),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),诛(誅),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),株(株),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),朱(朱),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),朱(硃),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),侏(侏),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),珠(珠),[空],tsy1(tsɿ⁵³),暂无
上海·市区(中新派),茱(茱),~萸,tsy1(tsɿ⁵³),暂无
上海·市区(中新派),㨖(㨖),~鞋,tsy1(tsɿ⁵³),暂无
上海·市区(中新派),㿳(㿳),黑~~,tsy1(tsɿ⁵³),暂无
上海·市区(中新派),紫(紫),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),姊(姊),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),子(子),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),籽(籽),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),仔(仔),~细,tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),梓(梓),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),滓(滓),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),恣(恣),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),纸(紙),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),咫(咫),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),旨(旨),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),指(指),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),止(止),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),趾(趾),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),址(址),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),芷(芷),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),制(制),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),制(製),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),智(智),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),致(致),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),致(緻),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),至(至),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),挚(摯),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),置(置),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),志(志),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),志(誌),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),痣(痣),[空],tsy5(tsɿ³³⁴),暂无
上海·市区(中新派),识(識),标~,tsy5(tsɿ³³⁴),暂无
